"","Date","University","Job_Title"
"1","01/30/2022","Marist College (Lecturer of Spanish) x2","Lecturer of Spanish"
"2","01/27/2022","University of Rhode Island (lecturer+coordinator) x2","lecturer+coordinator"
"3","01/26/2022","University of Southern Mississippi","01/26/2022-University of Southern Mississippi"
"4","01/26/2022","Shepherd University x2","01/26/2022-Shepherd University x2"
"5","01/20/2022","Howard University","01/20/2022-Howard University"
"6","01/20/2022","Berea College","01/20/2022-Berea College"
"7","01/19/2022","U of North Florida x2","01/19/2022-U of North Florida x2"
"8","01/19/2022","University of British Columbia (Lecturer of Spanish)","Lecturer of Spanish"
"9","01/18/2022","Truman State University (Tenure-track Assistant Professor of Spanish)","Tenure-track Assistant Professor of Spanish"
"10","01/18/2022","The University of St Andrews (Lecturer in Latin American Studies)","Lecturer in Latin American Studies"
"11","01/18/2022","University of Michigan (Lecturer III (231 Coordinator) position)","Lecturer III (231 Coordinator) position"
"12","01/17/2022","Mississippi State University x3","01/17/2022-Mississippi State University x3"
"13","01/14/2022","Baruch College (Peninsular studies) x2","Peninsular studies"
"14","01/14/2022","Florida Atlantic U (Latin American lit and film) x2","Latin American lit and film"
"15","01/13/2022","Jacksonville University x2","01/13/2022-Jacksonville University x2"
"16","01/13/2022","Georgia State University (Afro-Hispanic)","Afro-Hispanic"
"17","01/13/2022","Syracuse University (Latinx)","Latinx"
"18","01/09/2022","Spelman College (Latinx/Border) x3","Latinx/Border"
"19","01/08/2022","Spelman College (Global Hispanophone) x2","Global Hispanophone"
"20","01/05/2022","University of Central Florida (Spanish instructor)","Spanish instructor"
"21","01/04/2022","University of Kansas x2","01/04/2022-University of Kansas x2"
"22","01/03/2022","Idaho State x2","01/03/2022-Idaho State x2"
"23","12/29/2021","Mount St. Mary’s University x4","12/29/2021-Mount St. Mary’s University x4"
"24","12/23/2021","Coe College x2","12/23/2021-Coe College x2"
"25","12/22/2021","University of Wisconsin- River Falls","12/22/2021-University of Wisconsin- River Falls"
"26","12/21/2021","Houston (Assoc. Creative Writing)","Assoc. Creative Writing"
"27","12/22/2021","Middle Tennessee State University","12/22/2021-Middle Tennessee State University"
"28","12/21/2021","Clemson x3","12/21/2021-Clemson x3"
"29","12/21/2021","Claremont Mckenna College","12/21/2021-Claremont Mckenna College"
"30","12/21/2021","Georgetown (Modern and Contemporary Latin America)","Modern and Contemporary Latin America"
"31","12/21/2021","Union College x2","12/21/2021-Union College x2"
"32","12/20/2021","Texas A&M (Assistant Professor of Spanish) R1: Is this the position in San Antonio? R2: Yes, it is the one at San Antonio","Assistant Professor of Spanish"
"33","12/20/2021","FIU (Assistant Professor of Portuguese)","Assistant Professor of Portuguese"
"34","12/17/2021","UNLV (Assistant Professor in Residence)","Assistant Professor in Residence"
