"","Date","University","JobTitle"
"1","01/31/2023","University of North Carolina Wilmington","TT Assistant Professor in Spanish"
"2","01/30/2023","Florida International University","TT Assistant Professor in Spanish Linguistics"
"3","01/30/2023","Western Michigan University","TT Faculty Specialist in Spanish"
"4","01/26/2023","California State University","Northridge"
"5","01/24/2023","East Carolina University",NA
"6","01/23/2023","Farmingdale State College","TT Assistant Professor of Modern Languages"
"7","01/20/2023","California Polytechnic State University San Luis Obispo","TT Assistant Professor of Spanish"
"8","01/20/2023","Louisiana State University Shreveport","TT Assistant Professor of Linguistics and/or Spanish"
"9","01/20/2023","University of North Dakota","TT Assistant Professor of Spanish (Peninsular)"
"10","01/19/2023","University of Southern Indiana","Assistant Professor in Spanish"
"11","01/19/2023","St. Louis University","TT Assistant Professor Spanish Linguistics"
"12","01/18/2023","Barnard College","Lecturer in Spanish"
"13","01/18/2023","University of Pittsburgh at Bradford","Assistant Professor"
"14","01/18/2023","Old Dominion University","Lecturer in Spanish"
"15","01/18/2023","Baruch College","(Mexicanist Position)"
"16","01/11/2023","Amherst College","Lecturer of Spanish"
"17","01/10/2023","Johns Hopkins University","TT Assistant"
"18","01/07/2023","Trinity University","TT Spanish"
"19","01/04/2023","Appalachian State University","TT Assistant Professor and Coordinator of Beginning and Intermediate Spanish"
"20","12/29/2022","Loyola Marymount University","Assistant Professor of Spanish TT"
"21","12/28/2022","Columbia Lecturer",NA
"22","12/28/2022","UNC Wilmington","TT Asst Prof Spanish and Education/Coordinator of World Language Teacher Education"
"23","12/23/2022","Columbia","Caribbeanist TT"
"24","12/23/2022","Hunter College (CUNY)","Lecturer and Director of Spanish Translation and Interpretation Program"
"25","12/23/2022","UC Davis","Assistant Professor of Hispanophone Studies TT"
"26","12/22/2022","Temple University","Assistant Professor of Spanish (Instructional/NTT)"
"27","12/22/2022","Tufts University","Lecturer Course Administrator"
"28","12/21/2022","Indiana University-Bloomington","Lecturer in Spanish position"
"29","12/20/2022","Tufts University","Lecturer & Coordinator position"
"30","12/19/2022","Lafayette College","Spanish TT position"
"31","12/19/2022","Oklahoma State University",NA
"32","12/16/2022","Yale University",NA
"33","12/16/2022","Adelphi University","TT and language coordinator position"
"34","12/16/2022","University of Missouri","Columbia"
"35","12/15/2022","UCLA","Latinx literary studies"
"36","12/15/2022","Wittenberg University",NA
"37","12/15/2022","University of Delaware",NA
"38","12/14/2022","Wake Forest NTT",NA
"39","12/13/2022","Ohio State University","Syntax/Semantics"
"40","12/13/2022","Cal State Dominguez Hills",NA
"41","12/13/2022","Ft. Hays State University",NA
"42","12/13/2022","University of Nebraska","Lincoln VAP"
"43","12/12/2022","John Jay College","CUNY"
"44","12/12/2022","Wake Forest NTT",NA
"45","12/12/2022","Rutgers","Latinx"
"46","12/10/2022","Suffolk University",NA
"47","12/09/2022","UC Irvine",NA
"48","12/09/2022","Harvard University","Mexican studies"
"49","12/09/2022","Allegheny College",NA
"50","12/09/2022","Colorado State University","Border Studies"
"51","12/09/2022","Clemson University",NA
"52","12/08/2022","University of Central Florida",NA
"53","12/07/2022","University of Arizona",NA
"54","12/07/2022","University of Kansas",NA
"55","12/07/2022","Brown University",NA
"56","12/07/2022","Texas Tech University",NA
"57","12/07/2022","College of Charleston","Spanish Business Instructor"
"58","12/06/2022","Stetson University",NA
"59","12/06/2022","DePaul University","Latin American and Latino Studies"
"60","12/06/2022","Tulane University",NA
"61","12/05/2022","University of Houston",NA
"62","12/05/2022","Providence College",NA
"63","12/05/2022","University of Alaska Fairbanks",NA
"64","12/05/2022","Northwestern University","SLA/coordination NTT position"
"65","12/05/2022","Bradley University",NA
"66","12/05/2022","Bryn Mawr College",NA
"67","12/05/2022","Regis University",NA
"68","12/04/2022","UC Davis","Latinx/Chicanx Lit."
"69","12/03/2022","University of Virginia","Peninsular Spanish literature and culture"
"70","12/02/2022","Elon University","Lecturer in Spanish"
"71","12/02/2022","Colorado College",NA
"72","12/02/2022","Simpson College",NA
"73","12/02/2022","Jacksonville State University","Spanish TT"
"74","12/01/2022","Northwestern University","Mexican/Latinx"
"75","11/30/2022","Brandeis University",NA
"76","11/30/2022","Lehigh University",NA
"77","11/29/2022","University of Oklahoma",NA
"78","11/29/2022","Iowa State University",NA
"79","11/28/2022","Skidmore College",NA
"80","11/28/2022","Miami University",NA
"81","11/23/2022","Ohio State University","Latinx New Media"
"82","11/23/2022","University of Chicago",NA
"83","11/22/2022","University of North Carolina at Chapel Hill",NA
"84","11/17/2022","University of Alabama at Birmingham",NA
"85","11/16/2022","University of Florida",NA
"86","11/15/2022","San Diego State University",NA
"87","11/14/2022","University of Southern California",NA
"88","11/11/2022","Xavier University",NA
"89","11/07/2022","Oregon State University",NA
"90","11/07/2022","Idaho State University",NA
"91","11/04/2022","Boston University",NA
"92","11/04/2022","DePaul University",NA
"93","10/26/2022","University of Illinois Urbana-Champaign",NA
"94","10/25/2022","Ocean County College",NA
"95","10/25/2022","Sarah Lawrence College",NA
"96","10/24/2022","Baylor University",NA
"97","10/21/2022","University of Illinois Urbana-Champaign","Latin American Literatures and Culture"
"98","10/15/2022","Colgate University",NA
"99","10/13/2022","Emerson College","Literatures of the Americas"
